0,1,2
Ilvbl,Psmc3ip,Arid3a
Zcchc7,Cenpa,Lmo2
Tmeff2,Fen1,5430427O19Rik
Palld,Tipin,Tnfrsf1b
Aox1,Efcab11,Was
Ttc17,Incenp,Crym
Bace1,Casc5,F11r
Cdh2,Cenpf,Phf11d
Fat1,Spag5,Gpnmb
Tnfrsf12a,Smc4,Casp4
Nexn,Ccdc77,Gngt2
Epas1,Tex30,Hlx
Gprasp1,Vrk1,Slc37a2
Slc39a7,Tyms-ps,Mb21d1
Tspan5,Gins1,Igsf6
Fahd1,Timeless,Slc16a10
Hnrnpul1,Dek,Igf1
Fzd8,Cenpp,Chst1
Sidt2,Haus4,Tlr2
Cttnbp2,Mns1,Gatm
Hsp90b1,Dhfr,Pon3
Golgb1,Tubg1,Slc40a1
Gpc4,Dnajc9,4930506M07Rik
Ppp1r9a,1190002F15Rik,Trf
Ankrd16,Cdc25b,Sdcbp
Smpdl3a,Cenpe,Rbm47
Ryr3,Cse1l,Pygl
Ptprg,Nsg1,Tnfrsf11a
Lphn2,Gins2,Ifi204
Zdhhc13,Mxd3,Gmfg
Etnk1,Rad21,Tmem106a
Slc33a1,Lrrc40,Wdr89
Fam73b,Mis18a,Ell2
Gabbr1,Chek1,Rftn1
Slc4a7,Apitd1,Gcnt1
Mlc1,Aspm,A630001G21Rik
Ppp2r5a,Lsm2,Dock8
Ccdc126,Ccnf,Plxnc1
Sc5d,Ssna1,Kcnj2
Zbtb4,Rad54b,Rps28
Dera,Cenpw,Fermt3
Gpr137,Hmgn2,Rab3il1
Mafg,Tuba1b,Tmsb4x
Rnft2,Ttk,Lpl
Col4a6,Hn1l,Rnase4
Cd99l2,Kif14,Fmnl1
Pter,Atad5,Arhgef3
Gnb5,Ccdc18,Zfp36
Atp1b1,Iqgap3,Rgs10
Col4a1,Sapcd2,Syce2
AI464131,Impa2,Lsp1
Kirrel,Ercc6l,Fnip2
Cxx1c,Cdk2,Pyhin1
Ccdc38,Trip13,Cdk18
Phldb2,Xkr5,Wdfy4
Slc30a1,Ung,Arrb2
Arhgef12,2700094K13Rik,Cyba
Sh3glb2,Zcwpw1,Lgals9
6720401G13Rik,Rbl1,Isyna1
Prrc2b,Cdkn2c,Arhgap19
Ocrl,Arhgap11a,Ly6e
Nckap1,Tubb4b,Ehbp1l1
Plxna1,Nmral1,Pkib
Banp,Ccdc34,Uba7
Crb2,Rfc4,Rpl23
Araf,Prkaca,Lhfpl2
Hs6st1,Dnaaf2,Fth1
Tmem66,Tubb5,1700012D01Rik
Tcf7l2,Phf19,Erich2
Mlycd,Ssrp1,Mylip
Shisa9,Uchl5,Il10rb
Dock9,Cdca7,Pycard
Kremen1,Haus1,Prdm1
Prdm16,BC055324,Sdc2
Eif4a2,Rfc2,Frrs1
Erlec1,Mastl,Rasgrp3
Arhgef4,Cdt1,Slc7a8
Sema3e,Psip1,Fam60a
Pdgfrl,Dnmt1,Ppfia4
Glis2,Exosc8,Tnfaip2
Samd4,Psat1,Slc2a6
Igf1r,Sae1,Mnda
Bmp1,Pomt1,5430435G22Rik
Mia3,Wdr90,Gas7
A430105I19Rik,Rnaseh2c,Ifi27l2a
Orc2,Rmi2,Bhlhe22
Tdrd7,Rgs12,Zc3hav1
Axl,Wdr76,Fabp3
Igfbp5,Fanca,Dkk2
Snrk,Diap3,Emp3
A230072C01Rik,Arhgap33,Pou2f2
Rbms3,Ran,Apobec1
Dolk,9430015G10Rik,Crip1
Kif1a,Cks2,Sh3kbp1
Lrig2,Med18,Kctd12
Xbp1,Ticrr,I830012O16Rik
Atxn2,Hnrnpab,Rbfox1
Il1rap,Ncaph2,Psmb8
Ehd2,Whsc1,Slfn5
Hspa5,Mcm8,Plau
2810008D09Rik,Enkd1,Arrb1
Nphp3,Tmpo,Wdr91
Sumf1,Nop58,Rpl31
Aff1,Haus3,Mbp
Ift122,Dctpp1,Tnip3
Ldlr,Chtf18,Gng2
Cdh11,D030056L22Rik,Arpc1b
Aph1b,Eri1,Rab8b
Grik5,Sass6,Ifi44
Slc2a13,Dck,Parvb
D4Wsu53e,Pigf,Plcg2
Impact,Alyref,Dnajc12
Gpm6b,Poc1a,Ifit1
Herpud2,Mybl2,Prdx1
Sgcb,Rhno1,Vrk2
Oaf,Tmem194,Ctsb
Ric8,Aaas,Bcl2l11
Fam171a2,2700049A03Rik,Tpd52
"",Sf3b5,Prkcb
"",Trim28,Htatip2
"",Fanci,Oasl2
"",Nelfe,Irf7
"",Ccdc94,Sema4d
"",Paxip1,Myo7a
"",Rps6ka6,Gch1
"",Pmf1,Skap2
"",Traip,Xaf1
"",Suv39h2,Atf3
"",Sac3d1,Capn1
"",Blm,Tm6sf1
"",Timm50,Rpl7
"",Chek2,Ago1
"",Lin9,Rps24
"",Casp7,Trim30a
"",Dna2,Rpl35a
"",Nsmce4a,Sepp1
"",Cdkn2d,Wipf1
"",Ranbp1,Gltp
"",Pola1,Zfp784
"",Ccne1,Elmo1
"",Larp7,Ttc7
"",Tonsl,Ftl1
"",Prdx4,Bcl11a
"",Syncrip,Snx24
"",Gen1,2010001M06Rik
"",Anp32e,Plcl2
"",Haus2,Rgs2
"",Cit,Pced1b
"",Mettl9,Pwwp2b
"",Lin54,Ldlrap1
"",Orc6,Rsad2
"",Nde1,Plin2
"",Wdr67,Tes
"",Ddx11,Mef2c
"",Hnrpdl,Tenm4
"",5830418K08Rik,Capg
"",Cks1b,Colec12
"",Ndufb8,Rps4y2
"",Gpsm2,Cdt1
"",Gins4,Gata2
"",Nup85,D7Ertd715e
"",Brca2,Arhgap10
"",Khdrbs1,Efhd2
"",Gtse1,Parp14
"",Ctc1,Cmtm3
"",Trim59,Tnfaip3
"",Nucks1,Trp53i11
"",Myef2,Ppfibp2
"",Ankrd32,Ralb
"",Trim37,Shank3
"",H2afv,Ets2
"",Carhsp1,Akap14
"",Slc43a3,Satb2
"",Cenpl,Pcbp1
"",Ftsjd2,Slc7a7
"",Nup155,Slc25a45
"",Fam120a,B2m
"",Fancl,Fam109a
"",Myo19,Tec
"",Gm12504,Cat
"",Uba2,Ctsc
"",Mtbp,Mir703
"",Calm2,Tspan9
"",Anp32b,Tnfsf12
"",Haus6,Gsn
"",Khsrp,H2-K1
"",Piga,Cdc42ep2
"",Notch3,Psmb9
"",Cxcr4,Gabarapl2
"",Baz1b,Gla
"",Nans,Rps12
"",Limd2,Dhrs3
"",Txndc12,Paqr7
"",Lsm5,Trip13
"",Plk4,9130008F23Rik
"",Dtymk,Ncoa3
"",Mir684-1,Prcp
"",Mis12,A730017L22Rik
"",Hist1h2ae,Irgm2
"",Dym,Gab3
"",Ccne2,Wwc1
"",Lsm11,Map1lc3a
"",Rangap1,Zfp239
"",Pknox1,Il3ra
"",Polr2g,Gas6
"",1600002H07Rik,Zmat2
"",Pold2,Nfkbie
"",Slc25a10,Ltbr
"",Fxn,Klkb1
"",A830080D01Rik,Akr1a1
"",Naa38,Arap1
"",1500009L16Rik,Cstb
"",Mast2,Mns1
"",Slc25a40,Cntnap2
"",Rpp30,Usp18
"",Ptges3,Sh3pxd2a
"",Hjurp,Cotl1
"",Nt5c3l,Myo1b
"",Rbm22,Tgfbi
"",G2e3,Ptk2b
"",Srd5a1,Dazap2
"",Spdya,Chtf18
"",Sdc1,Paox
"",Pom121,Rnf125
"",Nup160,Ctsz
"",Gm16515,H2-D1
"",Hnrnpk,Rps23
"",Tada2a,Plekho2
"",Pgp,Litaf
"",Gins3,Nanos1
"",2610002M06Rik,Osbpl8
"",Snrpf,Nfkbib
"",Anapc5,Tmem173
"",Idh3g,Tusc2
"",Pradc1,Rtp4
"",Zranb3,Rpl39
"",Acta2,Cebpb
"",Snx27,Npl
"",Bub3,Prkcd
"",Actr1a,Fancc
"",Usp37,Frmd4b
"",Gsk3a,Sh3bp5
"",Ppwd1,Mtx2
"",Snrpe,Prr13
"",Naa50,Gusb
"",Kpnb1,Stk10
"",Cbx5,Cox7a2l
"",Mdc1,Cstad
"",Nanos1,Mycbp
"",Rpa3,Sbds
"",Lsm3,Agap3
"",Fancd2,Rpl36al
"",Exosc6,Klhl8
"",Slc24a5,Ptbp3
"",Ctbp1,Cdk19
"",Acy1,Stat6
"",Nedd1,Malt1
"",Rps15,Gpx3
"",Tgfbr3,Gm8615
"",Cdk4,Thap1
"",Exog,Lgals3
"",Cfl2,Nupr1
"",Rbbp8,Dcdc2a
"",Tcf3,Immp2l
"",Dnajc8,Rnf2
"",Prr11,Vps26a
"",AU019823,Ctsd
"",Slc25a23,Foxn3
"",Cpsf4,Ccdc109b
"",Srsf3,Rab1
"",Tmem97,Mrps10
"",Ubac1,Mylk
"",Brd8,Arg2
"",Bcam,Abca7
"",Ccdc14,Lacc1
"",Tnfaip6,Npm1
"",Gas2l3,Rspo3
"",Tubgcp2,Itpripl2
"",Xrcc2,Tradd
"",Nfyc,Rap1b
"",D2Wsu81e,D10Wsu102e
"",Fam122b,Mapkapk2
"",Acat1,H2-T23
"",Ptrh2,Slc43a2
"",Fancg,Adap1
"",B3galnt1,Myh7b
"",Suz12,Ifi30
"",Rcc1,Rpl9
"",Lmnb2,Gnb1
"",Arhgap22,S100a4
"",Kitl,Rplp2
"",Hsf2,Chn2
"",Mzt2,Spryd4
"",Vbp1,Arpc2
"",Slx4,Gm20748
"",Tmem177,Rps10
"",Dsn1,Serpinb1a
"",Fam216a,Gm5595
"",Set,Cd151
"",C530008M17Rik,Syngr1
"",Ccdc61,Snrpd3
"",Hap1,Ggact
"",Arpp19,Pnma2
"",Zic4,Vps54
"",Lsm7,Cdc42
"",Rnf26,Arl4c
"",Ift80,Gins1
"",Nek3,Bub1
"",Mdga1,Cyth1
"",Cdc123,Rabl3
"",Fam72a,Chic2
"",Mtif2,Trerf1
"",Nrarp,Plekhf2
"",Slc9a5,Slc6a6
"",Gxylt1,Csf2ra
"",Mthfd2,Chchd2
"",Amd1,Rpl13a
"",Wdr62,Lipa
"",Ptma,Sh3pxd2b
"",Nxt1,Rcsd1
"",3010026O09Rik,Taldo1
"",Agps,Dusp19
"",Cdk2ap1,Rnf144b
"",Iqgap2,Spata13
"",Smtn,Lca5
"",Gps1,Rps20
"",Rfwd3,Wdr55
"",Nup43,Nagpa
"",Vars,Mlkl
"",Ndufs4,Runx1
"",Hspa13,A130010J15Rik
"",Rpsa,""
"",Srm,""
"",Atm,""
"",4632434I11Rik,""
"",Fam110a,""
"",L3mbtl2,""
"",N4bp3,""
"",Rpl35,""
"",Cep152,""
"",Ube2s,""
"",Ppih,""
"",Znhit3,""
"",Slbp,""
"",Nelfcd,""
"",Sox11,""
"",Yipf5,""
"",Cep192,""
"",Alg13,""
"",Erdr1,""
"",Cand2,""
"",Dvl2,""
"",Fkbp2,""
"",Ubald2,""
"",Cenpo,""
"",Nup35,""
"",Grwd1,""
"",Atxn1l,""
"",Nup153,""
"",Fxyd6,""
"",Osgep,""
"",Ppp1ca,""
"",Net1,""
"",2700029M09Rik,""
"",Stag3,""
"",Lgals1,""
"",Nfatc2ip,""
"",Cep57,""
"",Pde6d,""
"",Thyn1,""
"",Ckap5,""
"",Eefsec,""
"",Nsmce1,""
"",Bai1,""
"",Rnaseh2b,""
"",Zfp800,""
"",Cenpc1,""
"",Eif1ad,""
"",Mbd3,""
"",Ap3b1,""
"",Ndufa12,""
"",Lnp,""
"",Zcchc8,""
"",Taf5,""
"",Rif1,""
"",Cenpt,""
"",Ctbp2,""
"",Nup188,""
"",Il31ra,""
"",Pgls,""
"",Arl6ip1,""
"",Ccp110,""
"",Lbr,""
"",Txnrd1,""
